Source,Spectrum,regime,telescope,instrument,mode,observation_date,wavelength_units,flux_units,wavelength_order,spectrum comments ,spectrum reference,discovery reference,Other spectrum refs, 
2MASS J22282889-4310262,https://bdnyc.s3.amazonaws.com/WFC3/J2228-43.csv,em.IR.NIR,HST ,WFC3,G141 grism,Jul-20-2013,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19,,"Apai10.12341, Apai12.13176, Buen12, Yang16",
2MASSI J0243137-245329,https://bdnyc.s3.amazonaws.com/WFC3/J0243-24.csv,em.IR.NIR,HST ,WFC3,G141 grism,Dec-31-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSI J0421072-630602,https://bdnyc.s3.amazonaws.com/WFC3/J0421-63.csv,em.IR.NIR,HST ,WFC3,G141 grism,Mar-20-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSI J0825196+211552,https://bdnyc.s3.amazonaws.com/WFC3/J0825%2B21.csv,em.IR.NIR,HST ,WFC3,G141 grism,May-09-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSI J1711457+223204,https://bdnyc.s3.amazonaws.com/WFC3/J1711%2B22.csv,em.IR.NIR,HST ,WFC3,G141 grism,Aug-01-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSI J2339101+135230,https://bdnyc.s3.amazonaws.com/WFC3/J2339%2B13.csv,em.IR.NIR,HST ,WFC3,G141 grism,Aug-21-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSW J0310599+164816,https://bdnyc.s3.amazonaws.com/WFC3/J0310%2B16.csv,em.IR.NIR,HST ,WFC3,G141 grism,Aug-25-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSW J0801405+462850,https://bdnyc.s3.amazonaws.com/WFC3/J0801%2B46.csv,em.IR.NIR,HST ,WFC3,G141 grism,Nov-10-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSW J1507476-162738,https://bdnyc.s3.amazonaws.com/WFC3/J1507-16.csv,em.IR.NIR,HST ,WFC3,G141 grism,Apr-30-2013,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19,,"Apai12.13176, Yang15",
2MASSW J1515008+484742,https://bdnyc.s3.amazonaws.com/WFC3/J1515%2B48.csv,em.IR.NIR,HST ,WFC3,G141 grism,Feb-25-2012,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
2MASSW J2224438-015852,https://bdnyc.s3.amazonaws.com/WFC3/J2224-01.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-09-2015,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai15.14241, Yang15",
2MUCD 10802,https://bdnyc.s3.amazonaws.com/WFC3/J0908%2B50.csv,em.IR.NIR,HST ,WFC3,G141 grism,Dec-09-2011,micron,erg cm-2 s-1 A-1,,,Manj19,,"Apai11.12550, Buen14",
CD-352722b,https://bdnyc.s3.amazonaws.com/WFC3/CD-3527B.csv,em.IR.NIR,HST ,WFC3,G141 grism,Sep-07-2015,micron,erg cm-2 s-1 A-1,<None>,,Manj19,,Apai15.14241,
CFBDS J214947-040308,https://bdnyc.s3.amazonaws.com/WFC3/CFBDSIR2.csv,em.IR.NIR,HST ,WFC3,G141 grism,Nov-18-2015,micron,erg cm-2 s-1 A-1,,Multiple observation dates.,Manj19,,Apai15.14241,
